CS_BILLING.CAMPAIGN_BILLING
ID,CS_ID,CAMPAIGN_ID,BILLED_DATE,SUM_SPENT,SUM_PAID,BALANCE
"2567265","132","4688","2020-01-01 00:00:00","86214","0","159844"
"2568339","132","4688","2020-01-02 00:00:00","117163","0","42681"
"2579588","132","4688","2020-01-03 00:00:00","45058","0","-2377"
"2583623","132","4688","2020-01-04 00:00:00","120","0","-2497"
"2590625","132","4688","2020-01-05 00:00:00","0","0","-2497"
"2598552","132","4688","2020-01-06 00:00:00","0","0","-2497"
"2603774","132","4688","2020-01-07 00:00:00","0","0","-2497"
"2607432","132","4688","2020-01-08 00:00:00","0","0","-2497"
"2613520","132","4688","2020-01-09 00:00:00","0","0","-2497"
"2623164","132","4688","2020-01-10 00:00:00","0","0","-2497"
"2626063","132","4688","2020-01-11 00:00:00","0","0","-2497"
"2633906","132","4688","2020-01-12 00:00:00","0","0","-2497"
"2637025","132","4688","2020-01-13 00:00:00","0","0","-2497"
"2647002","132","4688","2020-01-14 00:00:00","0","0","-2497"
"2649533","132","4688","2020-01-15 00:00:00","56683","906500","847320"
"2654989","132","4688","2020-01-16 00:00:00","81649","0","765671"
"2662286","132","4688","2020-01-17 00:00:00","70811","0","694860"
"2667566","132","4688","2020-01-18 00:00:00","84685","0","610175"
"2673939","132","4688","2020-01-19 00:00:00","116858","0","493317"
"2684313","132","4688","2020-01-20 00:00:00","125221","0","368096"
"2690621","132","4688","2020-01-21 00:00:00","56076","0","312020"
"2695039","132","4688","2020-01-22 00:00:00","35919","0","276101"
"2704265","132","4688","2020-01-23 00:00:00","33711","0","242390"
"2707700","132","4688","2020-01-24 00:00:00","34212","0","208178"
"2717084","132","4688","2020-01-25 00:00:00","43071","0","165107"
"2721886","132","4688","2020-01-26 00:00:00","50241","0","114866"
"2729539","132","4688","2020-01-27 00:00:00","40590","0","74276"
"2731936","132","4688","2020-01-28 00:00:00","29031","0","45245"
"2738180","132","4688","2020-01-29 00:00:00","17380","1510900","1538765"
"2745047","132","4688","2020-01-30 00:00:00","7469","0","1531296"
