CS_BILLING.CLICKS_TRT
CS_ID,CAMPAIGN_ID,TRANTIME,PRICE,PP,COUNT
"132","4688","2020-01-31 00:00:00","20","48","38"
"132","4688","2020-01-31 00:00:00","22","7","4"
"132","4688","2020-01-31 00:00:00","22","307","3"
"132","4688","2020-01-31 00:00:00","18","48","21"
"132","4688","2020-01-31 00:00:00","23","48","46"
"132","4688","2020-01-31 00:00:00","16","507","4"
"132","4688","2020-01-31 00:00:00","24","307","15"
"132","4688","2020-01-31 00:00:00","0","7","11404"
"132","4688","2020-01-31 00:00:00","0","28","2927"
"132","4688","2020-01-31 00:00:00","0","48","14763"
"132","4688","2020-01-31 00:00:00","16","7","9"
"132","4688","2020-01-31 00:00:00","17","7","18"
"132","4688","2020-01-31 00:00:00","12","7","9"
"132","4688","2020-01-31 00:00:00","19","48","13"
"132","4688","2020-01-31 00:00:00","19","507","3"
"132","4688","2020-01-31 00:00:00","18","507","3"
"132","4688","2020-01-31 00:00:00","17","507","3"
"132","4688","2020-01-31 00:00:00","17","48","20"
"132","4688","2020-01-31 00:00:00","17","307","10"
"132","4688","2020-01-31 00:00:00","0","307","1608"
"132","4688","2020-01-31 00:00:00","0","507","501"
"132","4688","2020-01-31 00:00:00","0","628","2177"
"132","4688","2020-01-31 00:00:00","0","707","38"
"132","4688","2020-01-31 00:00:00","16","48","20"
"132","4688","2020-01-31 00:00:00","18","7","11"
"132","4688","2020-01-31 00:00:00","19","7","12"
"132","4688","2020-01-31 00:00:00","19","307","7"
"132","4688","2020-01-31 00:00:00","23","7","20"
"132","4688","2020-01-31 00:00:00","24","7","39"
"132","4688","2020-01-31 00:00:00","24","48","61"
"132","4688","2020-01-31 00:00:00","20","7","27"
"132","4688","2020-01-31 00:00:00","22","48","14"
"132","4688","2020-01-31 00:00:00","23","307","9"
"132","4688","2020-01-31 00:00:00","20","307","15"
"132","4688","2020-01-31 00:00:00","0","7","-323"
"132","4688","2020-01-31 00:00:00","0","28","-72"
"132","4688","2020-01-31 00:00:00","0","48","-478"
"132","4688","2020-01-31 00:00:00","0","307","-73"
"132","4688","2020-01-31 00:00:00","0","628","-102"
"132","4688","2020-01-31 00:00:00","16","48","-1"
"132","4688","2020-01-31 00:00:00","19","307","-1"
"132","4688","2020-01-31 00:00:00","20","7","-1"
"132","4688","2020-01-31 00:00:00","24","7","-2"
"132","4688","2020-01-31 00:00:00","24","48","-7"
"132","4688","2020-01-31 00:00:00","23","507","4"
"132","4688","2020-01-31 00:00:00","12","48","4"
"132","4688","2020-01-31 00:00:00","44","48","2"
"132","4688","2020-01-31 00:00:00","48","7","5"
"132","4688","2020-01-31 00:00:00","51","7","7"
"132","4688","2020-01-31 00:00:00","40","7","8"
"132","4688","2020-01-31 00:00:00","46","307","2"
"132","4688","2020-01-31 00:00:00","25","7","25"
"132","4688","2020-01-31 00:00:00","25","48","53"
"132","4688","2020-01-31 00:00:00","21","48","1"
"132","4688","2020-01-31 00:00:00","21","307","1"
"132","4688","2020-01-31 00:00:00","49","507","1"
"132","4688","2020-01-31 00:00:00","51","307","2"
"132","4688","2020-01-31 00:00:00","44","7","1"
"132","4688","2020-01-31 00:00:00","48","307","1"
"132","4688","2020-01-31 00:00:00","52","7","7"
"132","4688","2020-01-31 00:00:00","47","48","3"
"132","4688","2020-01-31 00:00:00","51","507","1"
"132","4688","2020-01-31 00:00:00","48","507","1"
"132","4688","2020-01-31 00:00:00","52","48","13"
"132","4688","2020-01-31 00:00:00","46","48","4"
"132","4688","2020-01-31 00:00:00","46","7","2"
"132","4688","2020-01-31 00:00:00","20","48","-2"
"132","4688","2020-01-31 00:00:00","23","7","-3"
"132","4688","2020-01-31 00:00:00","0","507","-27"
"132","4688","2020-01-31 00:00:00","22","507","1"
"132","4688","2020-01-31 00:00:00","24","507","1"
"132","4688","2020-01-31 00:00:00","16","507","-2"
"132","4688","2020-01-31 00:00:00","17","7","-4"
"132","4688","2020-01-31 00:00:00","17","48","-1"
"132","4688","2020-01-31 00:00:00","19","507","-1"
"132","4688","2020-01-31 00:00:00","19","48","-1"
"132","4688","2020-01-31 00:00:00","22","48","-2"
"132","4688","2020-01-31 00:00:00","12","307","3"
"132","4688","2020-01-31 00:00:00","23","707","1"
"132","4688","2020-01-31 00:00:00","25","307","32"
"132","4688","2020-01-31 00:00:00","25","507","10"
"132","4688","2020-01-31 00:00:00","18","307","10"
"132","4688","2020-01-31 00:00:00","51","48","3"
"132","4688","2020-01-31 00:00:00","44","307","3"
"132","4688","2020-01-31 00:00:00","40","307","1"
"132","4688","2020-01-31 00:00:00","20","307","-1"
"132","4688","2020-01-31 00:00:00","24","707","1"
"132","4688","2020-01-31 00:00:00","40","48","7"
"132","4688","2020-01-31 00:00:00","47","7","2"
"132","4688","2020-01-31 00:00:00","21","7","1"
"132","4688","2020-01-31 00:00:00","23","48","-5"
"132","4688","2020-01-31 00:00:00","49","48","1"
"132","4688","2020-01-31 00:00:00","44","507","1"
"132","4688","2020-01-31 00:00:00","49","7","1"
"132","4688","2020-01-31 00:00:00","48","48","1"
"132","4688","2020-02-01 00:00:00","0","628","1604"
"132","4688","2020-02-01 00:00:00","25","307","5"
"132","4688","2020-02-01 00:00:00","25","48","17"
"132","4688","2020-02-01 00:00:00","17","507","2"
"132","4688","2020-02-01 00:00:00","47","7","1"
"132","4688","2020-02-01 00:00:00","53","307","1"
"132","4688","2020-02-01 00:00:00","51","48","2"
"132","4688","2020-02-01 00:00:00","53","7","2"
"132","4688","2020-02-01 00:00:00","22","48","2"
"132","4688","2020-02-01 00:00:00","12","7","7"
"132","4688","2020-02-01 00:00:00","52","48","1"
"132","4688","2020-02-01 00:00:00","22","7","1"
"132","4688","2020-02-01 00:00:00","40","7","2"
"132","4688","2020-02-01 00:00:00","17","307","4"
"132","4688","2020-02-01 00:00:00","16","7","14"
"132","4688","2020-02-01 00:00:00","53","48","2"
"132","4688","2020-02-01 00:00:00","0","48","-23"
"132","4688","2020-02-01 00:00:00","40","507","1"
"132","4688","2020-02-01 00:00:00","52","507","2"
"132","4688","2020-02-01 00:00:00","52","7","4"
"132","4688","2020-02-01 00:00:00","51","307","1"
"132","4688","2020-02-01 00:00:00","17","7","8"
"132","4688","2020-02-01 00:00:00","0","628","-13"
"132","4688","2020-02-01 00:00:00","20","307","1"
"132","4688","2020-02-01 00:00:00","46","307","3"
"132","4688","2020-02-01 00:00:00","47","48","1"
"132","4688","2020-02-01 00:00:00","40","48","3"
"132","4688","2020-02-01 00:00:00","47","307","3"
"132","4688","2020-02-01 00:00:00","25","7","7"
"132","4688","2020-02-01 00:00:00","49","307","1"
"132","4688","2020-02-01 00:00:00","44","507","5"
"132","4688","2020-02-01 00:00:00","0","707","17"
"132","4688","2020-02-01 00:00:00","44","48","34"
"132","4688","2020-02-01 00:00:00","12","48","3"
"132","4688","2020-02-01 00:00:00","23","48","18"
