CS_BILLING.GET_CLICKS_LOG
ID,CS_ID,GET_TRANTIME,FROM_TRANTIME,TO_TRANTIME,COUNT,FROM_TRANS_ID,TO_TRANS_ID,CLICKS_SOURCE
"84","132","2020-01-31 00:00:00","2020-01-31 00:00:00","2020-01-31 00:00:00","1","84","85","VENDORS_MODELBIDS_CLICKS"
"85","132","2020-02-01 00:00:00","2020-02-01 00:00:00","2020-02-01 00:00:00","1","85","86","VENDORS_MODELBIDS_CLICKS"
"41","132","2020-02-01 00:00:00","2020-01-31 00:00:00","2020-01-31 00:00:00","1","41","42","VENDORS_MODELBIDS_CLICKS"
"69","132","2020-02-02 00:00:00","2020-02-02 00:00:00","2020-02-02 00:00:00","1","69","70","VENDORS_MODELBIDS_CLICKS"
"107","132","2020-02-02 00:00:00","2020-02-01 00:00:00","2020-02-01 00:00:00","1","107","108","VENDORS_MODELBIDS_CLICKS"
"70","132","2020-02-03 00:00:00","2020-02-03 00:00:00","2020-02-03 00:00:00","1","70","71","VENDORS_MODELBIDS_CLICKS"
"106","132","2020-02-04 00:00:00","2020-02-03 00:00:00","2020-02-03 00:00:00","1","106","107","VENDORS_MODELBIDS_CLICKS"
"53","132","2020-02-04 00:00:00","2020-02-04 00:00:00","2020-02-04 00:00:00","1","53","54","VENDORS_MODELBIDS_CLICKS"
"1","132","2020-02-05 00:00:00","2020-02-05 00:00:00","2020-02-05 00:00:00","1","1","2","VENDORS_MODELBIDS_CLICKS"
"2","132","2020-02-05 00:00:00","2020-02-04 00:00:00","2020-02-04 00:00:00","1","2","3","VENDORS_MODELBIDS_CLICKS"
"21","132","2020-02-06 00:00:00","2020-02-05 00:00:00","2020-02-05 00:00:00","1","21","22","VENDORS_MODELBIDS_CLICKS"
"20","132","2020-02-06 00:00:00","2020-02-06 00:00:00","2020-02-06 00:00:00","1","20","21","VENDORS_MODELBIDS_CLICKS"
"96","132","2020-02-07 00:00:00","2020-02-06 00:00:00","2020-02-06 00:00:00","1","96","97","VENDORS_MODELBIDS_CLICKS"
"86","132","2020-02-07 00:00:00","2020-02-07 00:00:00","2020-02-07 00:00:00","1","86","87","VENDORS_MODELBIDS_CLICKS"
"71","132","2020-02-08 00:00:00","2020-02-08 00:00:00","2020-02-08 00:00:00","1","71","72","VENDORS_MODELBIDS_CLICKS"
"55","132","2020-02-08 00:00:00","2020-02-07 00:00:00","2020-02-07 00:00:00","1","55","56","VENDORS_MODELBIDS_CLICKS"
"54","132","2020-02-09 00:00:00","2020-02-08 00:00:00","2020-02-08 00:00:00","1","54","55","VENDORS_MODELBIDS_CLICKS"
"40","132","2020-02-09 00:00:00","2020-02-09 00:00:00","2020-02-09 00:00:00","1","40","41","VENDORS_MODELBIDS_CLICKS"
"42","132","2020-02-10 00:00:00","2020-02-10 00:00:00","2020-02-10 00:00:00","1","42","43","VENDORS_MODELBIDS_CLICKS"
"43","132","2020-02-10 00:00:00","2020-02-09 00:00:00","2020-02-09 00:00:00","1","43","44","VENDORS_MODELBIDS_CLICKS"
"72","132","2020-02-11 00:00:00","2020-02-11 00:00:00","2020-02-11 00:00:00","1","72","73","VENDORS_MODELBIDS_CLICKS"
"22","132","2020-02-12 00:00:00","2020-02-12 00:00:00","2020-02-12 00:00:00","1","22","23","VENDORS_MODELBIDS_CLICKS"
"74","132","2020-02-12 00:00:00","2020-02-11 00:00:00","2020-02-11 00:00:00","1","74","75","VENDORS_MODELBIDS_CLICKS"
"23","132","2020-02-13 00:00:00","2020-02-12 00:00:00","2020-02-12 00:00:00","1","23","24","VENDORS_MODELBIDS_CLICKS"
"97","132","2020-02-13 00:00:00","2020-02-13 00:00:00","2020-02-13 00:00:00","1","97","98","VENDORS_MODELBIDS_CLICKS"
"108","132","2020-02-14 00:00:00","2020-02-14 00:00:00","2020-02-14 00:00:00","1","108","109","VENDORS_MODELBIDS_CLICKS"
"98","132","2020-02-14 00:00:00","2020-02-13 00:00:00","2020-02-13 00:00:00","1","98","99","VENDORS_MODELBIDS_CLICKS"
"88","132","2020-02-15 00:00:00","2020-02-14 00:00:00","2020-02-14 00:00:00","1","88","89","VENDORS_MODELBIDS_CLICKS"
"3","132","2020-02-15 00:00:00","2020-02-15 00:00:00","2020-02-15 00:00:00","1","3","4","VENDORS_MODELBIDS_CLICKS"
"56","132","2020-02-16 00:00:00","2020-02-16 00:00:00","2020-02-16 00:00:00","1","56","57","VENDORS_MODELBIDS_CLICKS"
"87","132","2020-02-16 00:00:00","2020-02-15 00:00:00","2020-02-15 00:00:00","1","87","88","VENDORS_MODELBIDS_CLICKS"
"4","132","2020-02-17 00:00:00","2020-02-16 00:00:00","2020-02-16 00:00:00","1","4","5","VENDORS_MODELBIDS_CLICKS"
"73","132","2020-02-17 00:00:00","2020-02-17 00:00:00","2020-02-17 00:00:00","1","73","74","VENDORS_MODELBIDS_CLICKS"
"58","132","2020-02-18 00:00:00","2020-02-18 00:00:00","2020-02-18 00:00:00","1","58","59","VENDORS_MODELBIDS_CLICKS"
"5","132","2020-02-18 00:00:00","2020-02-17 00:00:00","2020-02-17 00:00:00","1","5","6","VENDORS_MODELBIDS_CLICKS"
"57","132","2020-02-19 00:00:00","2020-02-19 00:00:00","2020-02-19 00:00:00","1","57","58","VENDORS_MODELBIDS_CLICKS"
"6","132","2020-02-19 00:00:00","2020-02-18 00:00:00","2020-02-18 00:00:00","1","6","7","VENDORS_MODELBIDS_CLICKS"
"44","132","2020-02-20 00:00:00","2020-02-19 00:00:00","2020-02-19 00:00:00","1","44","45","VENDORS_MODELBIDS_CLICKS"
"109","132","2020-02-20 00:00:00","2020-02-20 00:00:00","2020-02-20 00:00:00","1","109","110","VENDORS_MODELBIDS_CLICKS"
"59","132","2020-02-21 00:00:00","2020-02-21 00:00:00","2020-02-21 00:00:00","1","59","60","VENDORS_MODELBIDS_CLICKS"
"99","132","2020-02-21 00:00:00","2020-02-20 00:00:00","2020-02-20 00:00:00","1","99","100","VENDORS_MODELBIDS_CLICKS"
"9","132","2020-02-22 00:00:00","2020-02-21 00:00:00","2020-02-21 00:00:00","1","9","10","VENDORS_MODELBIDS_CLICKS"
"76","132","2020-02-22 00:00:00","2020-02-22 00:00:00","2020-02-22 00:00:00","1","76","77","VENDORS_MODELBIDS_CLICKS"
"61","132","2020-02-23 00:00:00","2020-02-22 00:00:00","2020-02-22 00:00:00","1","61","62","VENDORS_MODELBIDS_CLICKS"
"45","132","2020-02-23 00:00:00","2020-02-23 00:00:00","2020-02-23 00:00:00","1","45","46","VENDORS_MODELBIDS_CLICKS"
"25","132","2020-02-24 00:00:00","2020-02-24 00:00:00","2020-02-24 00:00:00","1","25","26","VENDORS_MODELBIDS_CLICKS"
"26","132","2020-02-24 00:00:00","2020-02-23 00:00:00","2020-02-23 00:00:00","1","26","27","VENDORS_MODELBIDS_CLICKS"
"28","132","2020-02-25 00:00:00","2020-02-24 00:00:00","2020-02-24 00:00:00","1","28","29","VENDORS_MODELBIDS_CLICKS"
"7","132","2020-02-25 00:00:00","2020-02-25 00:00:00","2020-02-25 00:00:00","1","7","8","VENDORS_MODELBIDS_CLICKS"
"78","132","2020-02-26 00:00:00","2020-02-25 00:00:00","2020-02-25 00:00:00","1","78","79","VENDORS_MODELBIDS_CLICKS"
"8","132","2020-02-26 00:00:00","2020-02-26 00:00:00","2020-02-26 00:00:00","1","8","9","VENDORS_MODELBIDS_CLICKS"
"75","132","2020-02-27 00:00:00","2020-02-27 00:00:00","2020-02-27 00:00:00","1","75","76","VENDORS_MODELBIDS_CLICKS"
"10","132","2020-02-27 00:00:00","2020-02-26 00:00:00","2020-02-26 00:00:00","1","10","11","VENDORS_MODELBIDS_CLICKS"
"46","132","2020-02-28 00:00:00","2020-02-28 00:00:00","2020-02-28 00:00:00","1","46","47","VENDORS_MODELBIDS_CLICKS"
"27","132","2020-02-28 00:00:00","2020-02-27 00:00:00","2020-02-27 00:00:00","1","27","28","VENDORS_MODELBIDS_CLICKS"
"47","132","2020-02-29 00:00:00","2020-02-29 00:00:00","2020-02-29 00:00:00","1","47","48","VENDORS_MODELBIDS_CLICKS"
"24","132","2020-02-29 00:00:00","2020-02-28 00:00:00","2020-02-28 00:00:00","1","24","25","VENDORS_MODELBIDS_CLICKS"
"62","132","2020-03-01 00:00:00","2020-02-29 00:00:00","2020-02-29 00:00:00","1","62","63","VENDORS_MODELBIDS_CLICKS"
"77","132","2020-03-01 00:00:00","2020-03-01 00:00:00","2020-03-01 00:00:00","1","77","78","VENDORS_MODELBIDS_CLICKS"
"60","132","2020-03-02 00:00:00","2020-03-01 00:00:00","2020-03-01 00:00:00","1","60","61","VENDORS_MODELBIDS_CLICKS"
"110","132","2020-03-02 00:00:00","2020-03-02 00:00:00","2020-03-02 00:00:00","1","110","111","VENDORS_MODELBIDS_CLICKS"
"11","132","2020-03-03 00:00:00","2020-03-02 00:00:00","2020-03-02 00:00:00","1","11","12","VENDORS_MODELBIDS_CLICKS"
"100","132","2020-03-03 00:00:00","2020-03-03 00:00:00","2020-03-03 00:00:00","1","100","101","VENDORS_MODELBIDS_CLICKS"
"14","132","2020-03-04 00:00:00","2020-03-03 00:00:00","2020-03-03 00:00:00","1","14","15","VENDORS_MODELBIDS_CLICKS"
"29","132","2020-03-04 00:00:00","2020-03-04 00:00:00","2020-03-04 00:00:00","1","29","30","VENDORS_MODELBIDS_CLICKS"
"32","132","2020-03-05 00:00:00","2020-03-04 00:00:00","2020-03-04 00:00:00","1","32","33","VENDORS_MODELBIDS_CLICKS"
"89","132","2020-03-05 00:00:00","2020-03-05 00:00:00","2020-03-05 00:00:00","1","89","90","VENDORS_MODELBIDS_CLICKS"
"63","132","2020-03-06 00:00:00","2020-03-05 00:00:00","2020-03-05 00:00:00","1","63","64","VENDORS_MODELBIDS_CLICKS"
"90","132","2020-03-06 00:00:00","2020-03-06 00:00:00","2020-03-06 00:00:00","1","90","91","VENDORS_MODELBIDS_CLICKS"
"15","132","2020-03-07 00:00:00","2020-03-06 00:00:00","2020-03-06 00:00:00","1","15","16","VENDORS_MODELBIDS_CLICKS"
"79","132","2020-03-07 00:00:00","2020-03-07 00:00:00","2020-03-07 00:00:00","1","79","80","VENDORS_MODELBIDS_CLICKS"
"111","132","2020-03-08 00:00:00","2020-03-08 00:00:00","2020-03-08 00:00:00","1","111","112","VENDORS_MODELBIDS_CLICKS"
"81","132","2020-03-08 00:00:00","2020-03-07 00:00:00","2020-03-07 00:00:00","1","81","82","VENDORS_MODELBIDS_CLICKS"
"91","132","2020-03-09 00:00:00","2020-03-08 00:00:00","2020-03-08 00:00:00","1","91","92","VENDORS_MODELBIDS_CLICKS"
"112","132","2020-03-09 00:00:00","2020-03-09 00:00:00","2020-03-09 00:00:00","1","112","113","VENDORS_MODELBIDS_CLICKS"
"48","132","2020-03-10 00:00:00","2020-03-09 00:00:00","2020-03-09 00:00:00","1","48","49","VENDORS_MODELBIDS_CLICKS"
"80","132","2020-03-10 00:00:00","2020-03-10 00:00:00","2020-03-10 00:00:00","1","80","81","VENDORS_MODELBIDS_CLICKS"
"102","132","2020-03-11 00:00:00","2020-03-10 00:00:00","2020-03-10 00:00:00","1","102","103","VENDORS_MODELBIDS_CLICKS"
"12","132","2020-03-11 00:00:00","2020-03-11 00:00:00","2020-03-11 00:00:00","1","12","13","VENDORS_MODELBIDS_CLICKS"
"13","132","2020-03-12 00:00:00","2020-03-12 00:00:00","2020-03-12 00:00:00","1","13","14","VENDORS_MODELBIDS_CLICKS"
"31","132","2020-03-13 00:00:00","2020-03-12 00:00:00","2020-03-12 00:00:00","1","31","32","VENDORS_MODELBIDS_CLICKS"
"30","132","2020-03-13 00:00:00","2020-03-13 00:00:00","2020-03-13 00:00:00","1","30","31","VENDORS_MODELBIDS_CLICKS"
"101","132","2020-03-14 00:00:00","2020-03-14 00:00:00","2020-03-14 00:00:00","1","101","102","VENDORS_MODELBIDS_CLICKS"
"49","132","2020-03-14 00:00:00","2020-03-13 00:00:00","2020-03-13 00:00:00","1","49","50","VENDORS_MODELBIDS_CLICKS"
"33","132","2020-03-15 00:00:00","2020-03-15 00:00:00","2020-03-15 00:00:00","1","33","34","VENDORS_MODELBIDS_CLICKS"
"17","132","2020-03-15 00:00:00","2020-03-14 00:00:00","2020-03-14 00:00:00","1","17","18","VENDORS_MODELBIDS_CLICKS"
"65","132","2020-03-16 00:00:00","2020-03-15 00:00:00","2020-03-15 00:00:00","1","65","66","VENDORS_MODELBIDS_CLICKS"
"82","132","2020-03-16 00:00:00","2020-03-16 00:00:00","2020-03-16 00:00:00","1","82","83","VENDORS_MODELBIDS_CLICKS"
"114","132","2020-03-17 00:00:00","2020-03-16 00:00:00","2020-03-16 00:00:00","1","114","115","VENDORS_MODELBIDS_CLICKS"
"50","132","2020-03-17 00:00:00","2020-03-17 00:00:00","2020-03-17 00:00:00","1","50","51","VENDORS_MODELBIDS_CLICKS"
"36","132","2020-03-18 00:00:00","2020-03-18 00:00:00","2020-03-18 00:00:00","1","36","37","VENDORS_MODELBIDS_CLICKS"
"93","132","2020-03-18 00:00:00","2020-03-17 00:00:00","2020-03-17 00:00:00","1","93","94","VENDORS_MODELBIDS_CLICKS"
"34","132","2020-03-19 00:00:00","2020-03-19 00:00:00","2020-03-19 00:00:00","1","34","35","VENDORS_MODELBIDS_CLICKS"
"94","132","2020-03-19 00:00:00","2020-03-18 00:00:00","2020-03-18 00:00:00","1","94","95","VENDORS_MODELBIDS_CLICKS"
"16","132","2020-03-20 00:00:00","2020-03-20 00:00:00","2020-03-20 00:00:00","1","16","17","VENDORS_MODELBIDS_CLICKS"
"51","132","2020-03-20 00:00:00","2020-03-19 00:00:00","2020-03-19 00:00:00","1","51","52","VENDORS_MODELBIDS_CLICKS"
"64","132","2020-03-21 00:00:00","2020-03-21 00:00:00","2020-03-21 00:00:00","1","64","65","VENDORS_MODELBIDS_CLICKS"
"92","132","2020-03-21 00:00:00","2020-03-20 00:00:00","2020-03-20 00:00:00","1","92","93","VENDORS_MODELBIDS_CLICKS"
"113","132","2020-03-22 00:00:00","2020-03-22 00:00:00","2020-03-22 00:00:00","1","113","114","VENDORS_MODELBIDS_CLICKS"
"115","132","2020-03-22 00:00:00","2020-03-21 00:00:00","2020-03-21 00:00:00","1","115","116","VENDORS_MODELBIDS_CLICKS"
"103","132","2020-03-23 00:00:00","2020-03-23 00:00:00","2020-03-23 00:00:00","1","103","104","VENDORS_MODELBIDS_CLICKS"
"37","132","2020-03-23 00:00:00","2020-03-22 00:00:00","2020-03-22 00:00:00","1","37","38","VENDORS_MODELBIDS_CLICKS"
"104","132","2020-03-24 00:00:00","2020-03-23 00:00:00","2020-03-23 00:00:00","1","104","105","VENDORS_MODELBIDS_CLICKS"
"35","132","2020-03-24 00:00:00","2020-03-24 00:00:00","2020-03-24 00:00:00","1","35","36","VENDORS_MODELBIDS_CLICKS"
"83","132","2020-03-25 00:00:00","2020-03-24 00:00:00","2020-03-24 00:00:00","1","83","84","VENDORS_MODELBIDS_CLICKS"
"68","132","2020-03-25 00:00:00","2020-03-25 00:00:00","2020-03-25 00:00:00","1","68","69","VENDORS_MODELBIDS_CLICKS"
"105","132","2020-03-26 00:00:00","2020-03-26 00:00:00","2020-03-26 00:00:00","1","105","106","VENDORS_MODELBIDS_CLICKS"
"95","132","2020-03-26 00:00:00","2020-03-25 00:00:00","2020-03-25 00:00:00","1","95","96","VENDORS_MODELBIDS_CLICKS"
"39","132","2020-03-27 00:00:00","2020-03-26 00:00:00","2020-03-26 00:00:00","1","39","40","VENDORS_MODELBIDS_CLICKS"
"67","132","2020-03-27 00:00:00","2020-03-27 00:00:00","2020-03-27 00:00:00","1","67","68","VENDORS_MODELBIDS_CLICKS"
"19","132","2020-03-28 00:00:00","2020-03-27 00:00:00","2020-03-27 00:00:00","1","19","20","VENDORS_MODELBIDS_CLICKS"
"52","132","2020-03-28 00:00:00","2020-03-28 00:00:00","2020-03-28 00:00:00","1","52","53","VENDORS_MODELBIDS_CLICKS"
"66","132","2020-03-29 00:00:00","2020-03-29 00:00:00","2020-03-29 00:00:00","1","66","67","VENDORS_MODELBIDS_CLICKS"
"38","132","2020-03-29 00:00:00","2020-03-28 00:00:00","2020-03-28 00:00:00","1","38","39","VENDORS_MODELBIDS_CLICKS"
