CS_BILLING.CAMPAIGN_CHARGES
ID,CS_ID,CAMPAIGN_ID,SRV_TYPE_ID,SRV_ID,BILLING_ID,DT,PRICE,AMOUNT,SUM,COMMENTS
"1","132","5986","8","13","1","2020-01-31 00:00:00","0","1328","0",null
"2","132","5986","8","13","1","2020-01-31 00:00:00","1","-2","-2",null
"3","132","5986","8","13","1","2020-01-31 00:00:00","0","-31","0",null
"4","132","5986","8","13","1","2020-01-31 00:00:00","1","60","60",null
"5","132","5986","8",null,"1","2020-01-31 00:00:00","2142","1","2142","Начисление до суммы устновленной по тарифу"
"6","132","5986","8","13","2","2020-02-01 00:00:00","0","957","0",null
"7","132","5986","8","13","2","2020-02-01 00:00:00","1","-1","-1",null
"8","132","5986","8","13","2","2020-02-01 00:00:00","0","-21","0",null
"9","132","5986","8","13","2","2020-02-01 00:00:00","1","58","58",null
"10","132","5986","8",null,"2","2020-02-01 00:00:00","2143","1","2143","Начисление до суммы устновленной по тарифу"
"11","132","5986","8","13","3","2020-02-02 00:00:00","0","1024","0",null
"12","132","5986","8","13","3","2020-02-02 00:00:00","0","-7","0",null
"13","132","5986","8","13","3","2020-02-02 00:00:00","1","34","34",null
"14","132","5986","8",null,"3","2020-02-02 00:00:00","2166","1","2166","Начисление до суммы устновленной по тарифу"
"15","132","5986","8","13","4","2020-02-03 00:00:00","0","877","0",null
"16","132","5986","8","13","4","2020-02-03 00:00:00","0","-137","0",null
"17","132","5986","8","13","4","2020-02-03 00:00:00","1","12","12",null
"18","132","5986","8",null,"4","2020-02-03 00:00:00","2188","1","2188","Начисление до суммы устновленной по тарифу"
"19","132","5986","8","13","5","2020-02-04 00:00:00","0","936","0",null
"20","132","5986","8","13","5","2020-02-04 00:00:00","0","-16","0",null
"21","132","5986","8","13","5","2020-02-04 00:00:00","1","30","30",null
"22","132","5986","8",null,"5","2020-02-04 00:00:00","2170","1","2170","Начисление до суммы установленной по тарифу"
"23","132","5986","8","13","6","2020-02-05 00:00:00","0","953","0",null
"24","132","5986","8","13","6","2020-02-05 00:00:00","1","-1","-1",null
"25","132","5986","8","13","6","2020-02-05 00:00:00","0","-16","0",null
"26","132","5986","8","13","6","2020-02-05 00:00:00","1","32","32",null
"27","132","5986","8",null,"6","2020-02-05 00:00:00","2169","1","2169","Начисление до суммы установленной по тарифу"
"28","132","5986","8","13","7","2020-02-06 00:00:00","0","982","0",null
"29","132","5986","8","13","7","2020-02-06 00:00:00","1","-1","-1",null
"30","132","5986","8","13","7","2020-02-06 00:00:00","0","-139","0",null
"31","132","5986","8","13","7","2020-02-06 00:00:00","1","29","29",null
