CS_BILLING.CAMPAIGN_BILLING
ID,CS_ID,CAMPAIGN_ID,BILLED_DATE,SUM_SPENT,SUM_PAID,BALANCE
"2563208","132","439","2020-01-01 00:00:00","884","66666","65782"
"2570046","132","439","2020-01-02 00:00:00","3088","0","62694"
"2577046","132","439","2020-01-03 00:00:00","2982","0","59712"
"2583001","132","439","2020-01-04 00:00:00","2114","0","57598"
"2587360","132","439","2020-01-05 00:00:00","2555","0","55043"
"2596824","132","439","2020-01-06 00:00:00","3211","0","51832"
"2602597","132","439","2020-01-07 00:00:00","4010","0","47822"
"2608567","132","439","2020-01-08 00:00:00","3084","0","44738"
"2614701","132","439","2020-01-09 00:00:00","3465","0","41273"
"2620007","132","439","2020-01-10 00:00:00","4493","0","36780"
"2624997","132","439","2020-01-11 00:00:00","1264","0","35516"
"2635295","132","439","2020-01-12 00:00:00","0","0","35516"
"2637405","132","439","2020-01-13 00:00:00","8047","0","27469"
"2644071","132","439","2020-01-14 00:00:00","3902","0","23567"
"2652485","132","439","2020-01-15 00:00:00","3989","0","19578"
"2658362","132","439","2020-01-16 00:00:00","4318","0","15260"
"2666799","132","439","2020-01-17 00:00:00","3398","0","11862"
"2669842","132","439","2020-01-18 00:00:00","3254","0","8608"
"2675179","132","439","2020-01-19 00:00:00","3151","0","5457"
"2683244","132","439","2020-01-20 00:00:00","2870","0","2587"
"2688033","132","439","2020-01-21 00:00:00","2587","0","0"
"2695569","132","439","2020-01-22 00:00:00","0","0","0"
"2700960","132","439","2020-01-23 00:00:00","0","0","0"
"2709367","132","439","2020-01-24 00:00:00","0","0","0"
"2716477","132","439","2020-01-25 00:00:00","0","0","0"
"2717944","132","439","2020-01-26 00:00:00","0","0","0"
"2724502","132","439","2020-01-27 00:00:00","0","0","0"
"2732916","132","439","2020-01-28 00:00:00","0","0","0"
"2738432","132","439","2020-01-29 00:00:00","0","0","0"
"2745351","132","439","2020-01-30 00:00:00","0","0","0"
"1","132","439","2020-01-31 00:00:00","0","0","0"
"2","132","439","2020-02-01 00:00:00","373","66666","66293"
"3","132","439","2020-02-02 00:00:00","4134","0","62159"
"4","132","439","2020-02-03 00:00:00","3460","0","58699"
"5","132","439","2020-02-04 00:00:00","563","0","58136"
"6","132","439","2020-02-05 00:00:00","923","0","57213"
"7","132","439","2020-02-06 00:00:00","1151","0","56062"
"8","132","439","2020-02-07 00:00:00","583","0","55479"
"9","132","439","2020-02-08 00:00:00","915","0","54564"
"10","132","439","2020-02-09 00:00:00","753","0","53811"
"11","132","439","2020-02-10 00:00:00","865","0","52946"
"12","132","439","2020-02-11 00:00:00","1248","0","51698"
"13","132","439","2020-02-12 00:00:00","1529","0","50169"
"14","132","439","2020-02-13 00:00:00","1561","0","48608"
"15","132","439","2020-02-14 00:00:00","887","0","47721"
"16","132","439","2020-02-15 00:00:00","1373","0","46348"
"17","132","439","2020-02-16 00:00:00","1157","0","45191"
"18","132","439","2020-02-17 00:00:00","874","0","44317"
"19","132","439","2020-02-18 00:00:00","518","0","43799"
"20","132","439","2020-02-19 00:00:00","672","0","43127"
"21","132","439","2020-02-20 00:00:00","719","0","42408"
"22","132","439","2020-02-21 00:00:00","244","0","42164"
"23","132","439","2020-02-22 00:00:00","225","0","41939"
"24","132","439","2020-02-23 00:00:00","346","0","41593"
"25","132","439","2020-02-24 00:00:00","626","0","40967"
"26","132","439","2020-02-25 00:00:00","429","0","40538"
"27","132","439","2020-02-26 00:00:00","573","0","39965"
"28","132","439","2020-02-27 00:00:00","313","0","39652"
"29","132","439","2020-02-28 00:00:00","767","0","38885"
"30","132","439","2020-02-29 00:00:00","38885","0","0"
"31","132","439","2020-03-01 00:00:00","225","66666","66441"
"32","132","439","2020-03-02 00:00:00","611","0","65830"
"33","132","439","2020-03-03 00:00:00","268","0","65562"
"34","132","439","2020-03-04 00:00:00","319","0","65243"
"35","132","439","2020-03-05 00:00:00","567","0","64676"
"36","132","439","2020-03-06 00:00:00","263","0","64413"
"37","132","439","2020-03-07 00:00:00","335","0","64078"
"38","132","439","2020-03-08 00:00:00","124","0","63954"
"39","132","439","2020-03-09 00:00:00","413","0","63541"
"40","132","439","2020-03-10 00:00:00","284","0","63257"
"41","132","439","2020-03-11 00:00:00","218","0","63039"
"42","132","439","2020-03-12 00:00:00","371","0","62668"
"43","132","439","2020-03-13 00:00:00","405","0","62263"
"44","132","439","2020-03-14 00:00:00","888","0","61375"
"45","132","439","2020-03-15 00:00:00","286","0","61089"
"46","132","439","2020-03-16 00:00:00","1069","0","60020"
"47","132","439","2020-03-17 00:00:00","1083","0","58937"
"48","132","439","2020-03-18 00:00:00","1340","0","57597"
"49","132","439","2020-03-19 00:00:00","707","0","56890"
"50","132","439","2020-03-20 00:00:00","753","0","56137"
"51","132","439","2020-03-21 00:00:00","637","0","55500"
"52","132","439","2020-03-22 00:00:00","449","0","55051"
"53","132","439","2020-03-23 00:00:00","539","0","54512"
"54","132","439","2020-03-24 00:00:00","639","0","53873"
"55","132","439","2020-03-25 00:00:00","445","0","53428"
"56","132","439","2020-03-26 00:00:00","761","0","52667"
"57","132","439","2020-03-27 00:00:00","675","0","51992"
"58","132","439","2020-03-28 00:00:00","430","0","51562"
"59","132","439","2020-03-29 00:00:00","1030","0","50532"
"60","132","439","2020-03-30 00:00:00","444","0","50088"
"61","132","439","2020-03-31 00:00:00","50088","0","0"
