CS_BILLING.GET_CLICKS_LOG
ID,CS_ID,GET_TRANTIME,FROM_TRANTIME,TO_TRANTIME,COUNT,FROM_TRANS_ID,TO_TRANS_ID,CLICKS_SOURCE
"1","132","2020-01-31 00:00:00","2020-01-31 00:00:00","2020-01-31 00:00:00","1","1","2","V_PLOG_VENDOR_CLICK"
"4","132","2020-02-01 00:00:00","2020-01-31 00:00:00","2020-01-31 00:00:00","1","4","5","V_PLOG_VENDOR_CLICK"
"38","132","2020-02-01 00:00:00","2020-02-01 00:00:00","2020-02-01 00:00:00","1","38","39","V_PLOG_VENDOR_CLICK"
"75","132","2020-02-02 00:00:00","2020-02-02 00:00:00","2020-02-02 00:00:00","1","75","76","V_PLOG_VENDOR_CLICK"
"2","132","2020-02-03 00:00:00","2020-02-03 00:00:00","2020-02-03 00:00:00","1","2","3","V_PLOG_VENDOR_CLICK"
"19","132","2020-02-04 00:00:00","2020-02-03 00:00:00","2020-02-03 00:00:00","1","19","20","V_PLOG_VENDOR_CLICK"
"17","132","2020-02-04 00:00:00","2020-02-04 00:00:00","2020-02-04 00:00:00","1","17","18","V_PLOG_VENDOR_CLICK"
"18","132","2020-02-05 00:00:00","2020-02-04 00:00:00","2020-02-04 00:00:00","1","18","19","V_PLOG_VENDOR_CLICK"
"76","132","2020-02-05 00:00:00","2020-02-05 00:00:00","2020-02-05 00:00:00","1","76","77","V_PLOG_VENDOR_CLICK"
"40","132","2020-02-06 00:00:00","2020-02-05 00:00:00","2020-02-05 00:00:00","1","40","41","V_PLOG_VENDOR_CLICK"
"3","132","2020-02-06 00:00:00","2020-02-06 00:00:00","2020-02-06 00:00:00","1","3","4","V_PLOG_VENDOR_CLICK"
"54","132","2020-02-07 00:00:00","2020-02-06 00:00:00","2020-02-06 00:00:00","1","54","55","V_PLOG_VENDOR_CLICK"
"88","132","2020-02-07 00:00:00","2020-02-07 00:00:00","2020-02-07 00:00:00","1","88","89","V_PLOG_VENDOR_CLICK"
"5","132","2020-02-08 00:00:00","2020-02-07 00:00:00","2020-02-07 00:00:00","1","5","6","V_PLOG_VENDOR_CLICK"
"39","132","2020-02-08 00:00:00","2020-02-08 00:00:00","2020-02-08 00:00:00","1","39","40","V_PLOG_VENDOR_CLICK"
"53","132","2020-02-09 00:00:00","2020-02-09 00:00:00","2020-02-09 00:00:00","1","53","54","V_PLOG_VENDOR_CLICK"
"26","132","2020-02-09 00:00:00","2020-02-08 00:00:00","2020-02-08 00:00:00","1","26","27","V_PLOG_VENDOR_CLICK"
"55","132","2020-02-10 00:00:00","2020-02-10 00:00:00","2020-02-10 00:00:00","1","55","56","V_PLOG_VENDOR_CLICK"
"58","132","2020-02-10 00:00:00","2020-02-09 00:00:00","2020-02-09 00:00:00","1","58","59","V_PLOG_VENDOR_CLICK"
"78","132","2020-02-11 00:00:00","2020-02-10 00:00:00","2020-02-10 00:00:00","1","78","79","V_PLOG_VENDOR_CLICK"
"56","132","2020-02-11 00:00:00","2020-02-11 00:00:00","2020-02-11 00:00:00","1","56","57","V_PLOG_VENDOR_CLICK"
